Number        ,Priority ,State              ,Assigned to    ,Short description                                                                                     ,Created          ,Task type      ,Service
CHG0325611    ,P3       ,Closed             ,Suhas Jadhav   ,ToM backend update to version 2.1.44.4                                                                ,03-06-2024 14:53 ,Change Request ,PS_ACQ_FO
CHG0334175    ,P3       ,Closed             ,               ,ToM backend update to version 2.1.44.4                                                                ,08-07-2024 17:53 ,Change Request ,Tap on Mobile
CHG0340498    ,P3       ,Closed             ,               ,ToM backend update to version 2.1.45.5                                                                ,12-08-2024 12:32 ,Change Request ,PS_ACQ_FO
